IBM,Azure,Google,AWS,sentiment
0.928725,0.83162772655487,0.30000001192092896,0.8943997025489799,positive
-0.464037,0.5,0.0,0.961873650550842,positive
0.8075359999999999,0.7642661333084101,0.20000000298023224,0.7689968347549431,positive
0.8809389999999999,0.9454638361930842,0.4000000059604645,0.651411354541778,positive
0.988573,0.965763330459594,0.0,0.8543622493743891,positive
0.8664449999999999,0.962440192699432,0.30000001192092896,0.968065857887268,neutral
0.9769770000000001,0.7861170172691341,0.0,0.9817440509796139,negative
0.8573209999999999,0.8956329822540281,0.5,0.8283879160881039,positive
0.831105,0.7244521379470821,0.30000001192092896,0.5641340613365171,neutral
0.7166859999999999,0.5,0.0,0.7424317598342891,neutral
0.697531,0.5,0.4000000059604645,0.528477907180786,positive
0.988573,0.96678352355957,0.0,0.8641260266304011,neutral
0.22216599999999997,0.5,0.0,0.991833448410034,negative
0.828074,0.5,0.10000000149011612,0.6638078093528741,neutral
0.686524,0.943126201629638,0.20000000298023224,0.8078958988189691,positive
0.7966260000000001,0.822611808776855,0.30000001192092896,0.60257202386856,positive
0.588845,0.5,0.20000000298023224,0.9655436873435972,positive
0.7589640000000001,0.82160747051239,0.6000000238418579,0.589813232421875,neutral
0.556924,0.5,0.20000000298023224,0.8063835501670831,positive
0.988573,0.96678352355957,0.0,0.8879033327102661,neutral
0.759753,0.5,0.10000000149011612,0.34912145137786804,neutral
-0.643411,0.5,0.30000001192092896,0.802878260612487,neutral
0.7424149999999999,0.8054102659225459,0.6000000238418579,0.4199862480163569,positive
0.7928430000000001,0.5,0.20000000298023224,0.997854650020599,negative
0.855381,0.5,0.10000000149011612,0.838119745254516,neutral
0.7672680000000001,0.5,0.30000001192092896,0.7744972705841061,neutral
0.6987639999999999,0.5,0.30000001192092896,0.674405217170715,neutral
0.8351770000000001,0.5,0.4000000059604645,0.7836560606956481,positive
0.988573,0.96678352355957,0.0,0.858897387981414,neutral
0.904983,0.771256744861602,0.10000000149011612,0.8175630569458001,positive
